                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              5.001e-05,              5.001e-05,              5.001e-05
                      2,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00011438,             0.00011438,             0.00011438
                      3,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00017611,             0.00017611,             0.00017611
                      4,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0002352,              0.0002352,              0.0002352
                      5,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00029164,             0.00029164,             0.00029164
                      6,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00034545,             0.00034545,             0.00034545
                      7,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00039662,             0.00039662,             0.00039662
                      8,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00044515,             0.00044515,             0.00044515
                      9,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00049103,             0.00049103,             0.00049103
                     10,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00053428,             0.00053428,             0.00053428
                     11,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00057488,             0.00057488,             0.00057488
                     12,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00061285,             0.00061285,             0.00061285
                     13,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00064817,             0.00064817,             0.00064817
                     14,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00068085,             0.00068085,             0.00068085
                     15,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0007109,              0.0007109,              0.0007109
                     16,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0007383,              0.0007383,              0.0007383
                     17,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00076306,             0.00076306,             0.00076306
                     18,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00078518,             0.00078518,             0.00078518
                     19,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00080466,             0.00080466,             0.00080466
                     20,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0008215,              0.0008215,              0.0008215
                     21,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0008357,              0.0008357,              0.0008357
                     22,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00084726,             0.00084726,             0.00084726
                     23,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00085618,             0.00085618,             0.00085618
                     24,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00086246,             0.00086246,             0.00086246
                     25,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00086609,             0.00086609,             0.00086609
                     26,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00084184,             0.00084184,             0.00084184
                     27,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00080883,             0.00080883,             0.00080883
                     28,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00077582,             0.00077582,             0.00077582
                     29,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00074282,             0.00074282,             0.00074282
                     30,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00070981,             0.00070981,             0.00070981
                     31,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0006768,              0.0006768,              0.0006768
                     32,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0006438,              0.0006438,              0.0006438
                     33,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00061079,             0.00061079,             0.00061079
                     34,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00057778,             0.00057778,             0.00057778
                     35,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00054478,             0.00054478,             0.00054478
                     36,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00051177,             0.00051177,             0.00051177
                     37,                    nan,                    nan,                    nan,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00047876,             0.00047876,             0.00047876
                     38,                    nan,                    nan,                    nan,                0.01786,                0.03333,                0.00972,                 0.0068,                    nan,                    nan,                    nan,             0.00044576,             0.00044576,             0.00044576
                     39,                    nan,                    nan,                    nan,                0.01724,                0.03333,                0.00924,                0.00646,                    nan,                    nan,                    nan,             0.00041275,             0.00041275,             0.00041275
                     40,                    nan,                    nan,                    nan,                0.01515,                0.03333,                 0.0083,                0.00581,                    nan,                    nan,                    nan,             0.00037974,             0.00037974,             0.00037974
                     41,                    nan,                    nan,                    nan,                0.01429,                0.03333,                0.00781,                0.00547,                    nan,                    nan,                    nan,             0.00034674,             0.00034674,             0.00034674
                     42,                    nan,                    nan,                    nan,                0.01351,                0.03333,                0.00741,                0.00519,                    nan,                    nan,                    nan,             0.00031373,             0.00031373,             0.00031373
                     43,                    nan,                    nan,                    nan,                0.01429,                0.03333,                0.00777,                0.00544,                    nan,                    nan,                    nan,             0.00028072,             0.00028072,             0.00028072
                     44,                    nan,                    nan,                    nan,                0.01471,                0.03333,                0.00805,                0.00563,                    nan,                    nan,                    nan,             0.00024772,             0.00024772,             0.00024772
                     45,                    nan,                    nan,                    nan,                0.01562,                0.03333,                0.00848,                0.00593,                    nan,                    nan,                    nan,             0.00021471,             0.00021471,             0.00021471
                     46,                    nan,                    nan,                    nan,                0.01429,                0.03333,                0.00777,                0.00544,                    nan,                    nan,                    nan,              0.0001817,              0.0001817,              0.0001817
                     47,                    nan,                    nan,                    nan,                0.01471,                0.03333,                0.00809,                0.00566,                    nan,                    nan,                    nan,              0.0001487,              0.0001487,              0.0001487
                     48,                    nan,                    nan,                    nan,                0.01562,                0.03333,                0.00852,                0.00596,                    nan,                    nan,                    nan,             0.00011569,             0.00011569,             0.00011569
                     49,                    nan,                    nan,                    nan,                0.01515,                0.03333,                0.00835,                0.00584,                    nan,                    nan,                    nan,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     50,                    nan,                    nan,                    nan,                0.01515,                0.03333,                 0.0083,                0.00581,                    nan,                    nan,                    nan,             4.9677e-05,             4.9677e-05,             4.9677e-05
